Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps;
26358;UPIE;26120;UPIE;;44.7990451826; 4.98046228806
26362;VALENCE;26000;VALENCE;;44.9229811667; 4.91444013136
26367;VENTEROL;26110;VENTEROL;;44.3977805769; 5.09846513358
26368;VERCHENY;26340;VERCHENY;;44.7147022562; 5.24834854956
26370;VERCOIRAN;26170;VERCOIRAN;;44.2937794965; 5.35057643289
26372;VERS SUR MEOUGE;26560;VERS SUR MEOUGE;;44.2358606593; 5.55110208603
26375;VILLEFRANCHE LE CHATEAU;26560;VILLEFRANCHE LE CHATEAU;;44.2152597669; 5.50831127895
26376;VILLEPERDRIX;26510;VILLEPERDRIX;;44.4557494791; 5.29971413853
26379;GRANGES LES BEAUMONT;26600;GRANGES LES BEAUMONT;;45.0478824506; 4.97487229012
